Date,Open,High,Low,Close,Volume
02/01/2024,"621.00","631.91","616.50","630.27","36,914,578"
01/31/2024,"614.40","622.69","607.00","615.27","45,379,488"
01/30/2024,"629.00","634.93","622.60","627.74","41,073,527"
01/29/2024,"612.32","624.89","609.07","624.65","34,873,301"
01/26/2024,"609.60","617.83","605.73","610.31","39,030,859"
01/25/2024,"623.50","627.19","608.50","616.17","48,277,680"
01/24/2024,"603.04","628.49","599.38","613.62","56,027,078"
01/23/2024,"595.70","599.10","585.85","598.73","29,465,449"
01/22/2024,"600.49","603.31","590.70","596.54","45,295,461"
01/19/2024,"579.89","595.00","572.25","594.91","54,350,152"
01/18/2024,"572.60","576.00","561.07","571.07","49,165,039"
01/17/2024,"563.47","564.71","547.40","560.53","47,439,441"
01/16/2024,"550.18","568.35","549.00","563.82","44,957,969"
01/12/2024,"546.20","549.70","543.30","547.10","35,299,359"
01/11/2024,"549.99","553.46","535.60","548.22","59,675,879"
01/10/2024,"536.16","546.00","534.89","543.50","53,379,578"
01/09/2024,"524.01","543.25","516.90","531.40","77,310,008"
01/08/2024,"495.12","522.75","494.79","522.53","64,250,992"
01/05/2024,"484.62","495.47","483.06","490.97","41,503,930"
01/04/2024,"477.67","485.00","475.08","479.98","30,653,490"
01/03/2024,"474.85","481.84","473.20","475.69","32,089,619"
01/02/2024,"492.44","492.95","475.95","481.68","41,125,422"
12/29/2023,"498.13","499.97","487.51","495.22","38,929,328"
12/28/2023,"496.43","498.84","494.12","495.22","24,658,750"
12/27/2023,"495.11","496.80","490.85","494.17","23,364,801"
12/26/2023,"489.68","496.00","489.60","492.79","24,419,949"
12/22/2023,"491.95","493.83","484.67","488.30","25,250,680"
12/21/2023,"488.11","490.95","484.19","489.90","30,042,539"
12/20/2023,"496.55","499.99","480.98","481.11","39,789,441"
12/19/2023,"494.24","497.00","488.95","496.04","46,444,449"
12/18/2023,"494.00","504.33","491.50","500.77","41,258,719"
12/15/2023,"481.94","494.04","481.20","488.90","47,994,762"
12/14/2023,"483.90","486.70","474.22","483.50","39,123,168"
12/13/2023,"476.29","485.94","476.08","480.88","44,779,191"
12/12/2023,"460.46","476.66","460.46","476.57","37,238,688"
12/11/2023,"474.91","475.31","458.30","466.27","50,972,809"
12/08/2023,"465.95","477.41","465.50","475.06","35,922,367"
12/07/2023,"457.00","466.29","456.04","465.96","35,082,262"
12/06/2023,"472.15","473.87","454.12","455.03","38,058,961"
12/05/2023,"454.66","466.00","452.71","465.66","37,171,762"
12/04/2023,"460.77","460.77","450.10","455.10","43,754,340"
12/01/2023,"465.25","472.00","461.87","467.65","36,931,699"
11/30/2023,"480.24","481.10","464.22","467.70","52,624,660"
11/29/2023,"483.79","487.62","478.60","481.40","38,200,473"
11/28/2023,"482.36","483.23","474.73","478.21","40,149,090"
11/27/2023,"478.00","485.30","476.52","482.42","39,566,191"
11/24/2023,"484.70","489.21","477.45","477.76","29,464,461"
11/22/2023,"498.52","503.35","476.90","487.16","90,064,234"
11/21/2023,"501.26","505.17","492.22","499.44","56,574,688"
11/20/2023,"493.12","505.48","491.81","504.09","41,614,262"
11/17/2023,"495.24","497.17","490.07","492.98","32,589,689"
11/16/2023,"486.79","495.25","483.30","494.80","33,975,621"
11/15/2023,"499.35","499.60","482.00","488.88","47,549,738"
11/14/2023,"496.80","498.34","490.40","496.56","41,695,391"
11/13/2023,"483.20","491.16","480.99","486.20","38,413,566"
11/10/2023,"475.00","484.72","472.83","483.35","42,244,160"
11/09/2023,"474.67","482.30","467.50","469.50","54,049,602"
11/08/2023,"461.00","468.67","459.68","465.74","34,671,887"
11/07/2023,"457.19","462.18","451.58","459.55","34,316,551"
11/06/2023,"452.85","459.35","448.99","457.51","40,073,340"
11/03/2023,"440.20","453.09","437.23","450.05","42,460,961"
11/02/2023,"433.28","438.84","428.94","435.06","40,917,191"
11/01/2023,"408.84","423.81","408.69","423.25","43,759,289"
10/31/2023,"404.50","408.79","392.30","407.80","51,796,871"
10/30/2023,"410.87","417.66","404.81","411.61","38,802,809"
10/27/2023,"411.30","412.06","400.15","405.00","41,678,441"
10/26/2023,"418.53","422.56","398.80","403.26","54,100,129"
10/25/2023,"433.98","436.50","415.55","417.79","39,837,922"
10/24/2023,"430.77","436.97","426.91","436.63","40,146,340"
10/23/2023,"412.29","432.48","409.45","429.75","47,853,047"
10/20/2023,"418.90","424.70","410.78","413.87","47,726,609"
10/19/2023,"428.11","432.97","418.82","421.01","50,123,312"
10/18/2023,"425.91","432.19","418.25","421.96","62,729,434"
10/17/2023,"440.00","447.54","424.80","439.38","81,233,273"
10/16/2023,"450.63","462.25","449.12","460.95","37,509,922"
10/13/2023,"469.60","471.16","452.80","454.61","47,542,602"
10/12/2023,"467.77","476.09","463.30","469.45","48,132,500"
10/11/2023,"461.96","468.59","460.50","468.06","37,813,688"
10/10/2023,"453.10","462.59","450.88","457.98","36,858,207"
10/09/2023,"448.42","456.05","443.68","452.73","40,967,473"
10/06/2023,"441.93","457.89","440.26","457.62","43,443,602"
10/05/2023,"440.50","449.00","438.88","446.88","39,348,312"
10/04/2023,"437.42","441.43","432.92","440.41","36,182,090"
10/03/2023,"448.08","451.30","432.46","435.17","47,084,953"
10/02/2023,"440.30","451.75","438.61","447.82","43,329,820"
09/29/2023,"438.27","441.44","433.07","434.99","39,782,992"
09/28/2023,"424.60","434.46","421.15","430.89","42,466,281"
09/27/2023,"423.30","428.72","416.29","424.68","44,493,520"
09/26/2023,"420.01","428.20","416.55","419.11","40,228,207"
09/25/2023,"415.91","425.36","411.77","422.22","41,909,102"
09/22/2023,"415.72","421.15","412.31","416.10","47,923,633"
09/21/2023,"415.83","421.00","409.80","410.17","45,073,602"
09/20/2023,"436.00","439.03","422.23","422.39","36,710,770"
09/19/2023,"438.33","439.66","430.02","435.20","37,306,422"
09/18/2023,"427.48","442.42","420.00","439.66","50,027,078"
09/15/2023,"453.41","455.99","438.08","439.00","50,683,047"
09/14/2023,"459.50","459.87","451.31","455.81","37,009,719"
09/13/2023,"446.00","459.30","445.03","454.85","39,835,539"
09/12/2023,"447.38","456.73","445.31","448.70","34,925,633"
09/11/2023,"461.48","461.63","443.12","451.78","47,396,559"
09/08/2023,"459.42","466.06","452.71","455.72","47,389,992"
09/07/2023,"455.25","463.44","451.52","462.41","43,332,992"
09/06/2023,"484.41","485.49","465.80","470.61","46,866,961"
09/05/2023,"482.23","488.51","478.60","485.48","38,265,262"
09/01/2023,"497.62","498.00","481.42","485.09","46,383,031"
08/31/2023,"493.80","497.44","489.58","493.55","52,856,980"
08/30/2023,"490.44","499.27","484.25","492.64","73,520,602"
08/29/2023,"466.66","490.81","463.91","487.84","70,139,695"
08/28/2023,"464.82","469.80","448.88","468.35","68,519,219"
08/25/2023,"470.12","478.05","450.24","460.18","92,534,047"
08/24/2023,"502.16","502.66","471.59","471.63","115,604,398"
08/23/2023,"458.66","472.00","452.08","471.16","77,904,609"
08/22/2023,"481.35","481.87","453.33","456.68","75,720,688"
08/21/2023,"444.94","470.65","442.22","469.67","69,257,344"
08/18/2023,"426.35","435.78","416.60","432.99","58,376,793"
08/17/2023,"439.70","440.62","430.01","433.44","45,239,480"
08/16/2023,"445.20","446.75","434.06","434.86","52,745,070"
08/15/2023,"445.60","452.68","437.10","439.40","67,651,148"
08/14/2023,"404.86","438.00","403.11","437.53","69,028,578"
08/11/2023,"417.51","420.18","406.39","408.55","53,308,527"
08/10/2023,"421.60","435.74","418.35","423.88","49,270,527"
08/09/2023,"442.74","443.12","421.34","425.54","58,644,910"
08/08/2023,"448.53","452.42","440.56","446.64","35,384,340"
08/07/2023,"451.11","455.40","445.63","454.17","32,215,350"
08/04/2023,"449.85","456.42","443.93","446.80","36,266,621"
08/03/2023,"438.00","451.18","438.00","445.15","32,507,660"
08/02/2023,"458.31","458.40","433.87","442.69","53,014,160"
08/01/2023,"464.60","469.00","460.27","465.07","23,927,600"
07/31/2023,"467.54","471.30","465.06","467.29","25,105,529"
07/28/2023,"466.68","470.27","463.81","467.50","33,119,422"
07/27/2023,"465.19","473.95","457.50","459.00","45,597,551"
07/26/2023,"460.21","460.53","446.30","454.52","36,423,727"
07/25/2023,"449.41","461.83","449.23","456.79","34,808,090"
07/24/2023,"447.31","451.09","440.40","446.12","38,309,969"
07/21/2023,"457.88","458.66","441.00","443.09","96,376,867"
07/20/2023,"465.07","470.87","450.62","455.20","53,786,449"
07/19/2023,"474.64","478.18","467.42","470.77","42,750,180"
07/18/2023,"467.01","478.96","457.34","474.94","57,019,039"
07/17/2023,"462.89","464.96","452.62","464.61","51,048,820"
07/14/2023,"465.83","480.88","450.60","454.69","77,207,531"
07/13/2023,"445.18","461.55","444.92","459.77","47,820,367"
07/12/2023,"430.33","439.35","427.77","439.02","48,127,699"
07/11/2023,"424.81","427.58","420.67","424.05","29,824,410"
07/10/2023,"426.57","428.11","416.49","421.80","35,390,809"
07/07/2023,"423.22","432.14","421.80","425.03","35,588,152"
07/06/2023,"418.44","421.79","413.46","421.03","30,413,881"
07/05/2023,"421.35","431.77","420.85","423.17","32,361,760"
07/03/2023,"425.17","428.98","422.02","424.13","19,775,410"
06/30/2023,"416.80","425.50","415.01","423.02","50,114,781"
06/29/2023,"415.58","416.00","406.00","408.22","38,051,434"
06/28/2023,"406.60","418.45","405.18","411.17","58,263,930"
06/27/2023,"407.99","419.40","404.48","418.76","46,217,473"
06/26/2023,"424.61","427.64","401.00","406.32","59,432,191"
06/23/2023,"424.64","428.09","420.15","422.09","35,813,980"
06/22/2023,"422.53","434.26","422.34","430.25","41,773,738"
06/21/2023,"435.01","436.15","420.80","430.45","55,160,289"
06/20/2023,"429.98","439.90","426.74","438.08","45,115,312"
06/16/2023,"434.50","437.21","426.61","426.92","65,570,938"
06/15/2023,"426.02","432.89","421.47","426.53","56,862,199"
06/14/2023,"408.24","430.00","405.52","429.97","74,046,492"
06/13/2023,"401.86","411.01","397.40","410.22","61,320,820"
06/12/2023,"392.00","395.30","386.18","394.82","38,967,340"
06/09/2023,"390.37","397.11","385.67","387.70","42,771,754"
06/08/2023,"377.24","388.64","375.05","385.10","41,777,238"
06/07/2023,"389.15","394.99","373.56","374.75","51,199,793"
06/06/2023,"388.30","391.60","381.48","386.54","38,872,910"
06/05/2023,"389.09","395.65","387.07","391.71","39,609,379"
06/02/2023,"400.97","405.00","390.58","393.27","48,273,121"
06/01/2023,"384.89","400.50","383.40","397.70","63,587,301"
05/31/2023,"394.88","402.95","378.22","378.34","100,258,000"
05/30/2023,"405.95","419.38","399.49","401.11","92,340,109"
05/26/2023,"378.90","391.70","375.50","389.46","71,439,680"
05/25/2023,"385.23","394.80","366.35","379.80","154,391,109"
05/24/2023,"302.10","306.07","298.06","305.38","72,141,852"
05/23/2023,"310.00","312.88","306.31","306.88","35,625,328"
05/22/2023,"309.01","315.20","306.80","311.76","37,199,969"
05/19/2023,"315.36","315.80","309.16","312.64","47,390,770"
05/18/2023,"304.10","318.28","303.20","316.78","74,872,492"
05/17/2023,"295.84","301.99","294.30","301.78","43,253,539"
05/16/2023,"288.41","298.70","288.32","292.13","44,940,488"
05/15/2023,"285.09","289.69","281.52","289.53","29,392,590"
05/12/2023,"285.29","287.80","280.46","283.40","27,422,230"
05/11/2023,"288.96","289.50","282.46","285.78","32,214,900"
05/10/2023,"290.05","291.13","284.61","288.85","36,935,000"
05/09/2023,"288.99","289.73","284.50","285.71","31,486,949"
05/08/2023,"285.22","292.20","283.50","291.51","34,497,887"
05/05/2023,"278.26","287.55","277.31","286.80","36,149,406"
05/04/2023,"276.51","278.59","272.40","275.62","32,185,039"
05/03/2023,"278.40","283.67","274.72","278.02","38,338,738"
05/02/2023,"286.80","288.36","280.83","282.10","40,272,961"
05/01/2023,"278.40","290.58","277.80","289.10","57,032,848"
04/28/2023,"272.25","277.58","270.71","277.49","29,221,609"
04/27/2023,"273.63","274.95","266.25","272.26","37,716,121"
04/26/2023,"270.02","273.30","267.05","269.56","40,633,680"
04/25/2023,"270.78","272.47","262.25","262.41","37,852,719"
04/24/2023,"270.13","273.66","266.71","270.42","33,928,191"
04/21/2023,"269.52","271.83","267.22","271.19","34,510,281"
04/20/2023,"276.71","280.30","270.00","271.04","42,771,328"
04/19/2023,"273.61","280.00","272.32","279.31","35,866,039"
04/18/2023,"275.34","281.10","273.57","276.67","60,481,152"
04/17/2023,"265.66","270.06","264.33","270.02","32,147,131"
04/14/2023,"265.04","268.83","262.20","267.58","39,566,008"
04/13/2023,"267.34","268.87","263.29","264.63","35,361,527"
04/12/2023,"273.70","274.68","264.48","264.95","44,625,898"
04/11/2023,"277.24","277.90","271.26","271.69","31,437,820"
04/10/2023,"268.23","276.21","266.69","275.79","39,527,859"
04/06/2023,"265.84","270.80","264.27","270.37","39,765,434"
04/05/2023,"268.29","269.98","263.95","268.81","51,501,473"
04/04/2023,"279.66","280.00","273.07","274.53","36,859,152"
04/03/2023,"275.09","280.00","273.36","279.65","39,871,559"
03/31/2023,"271.40","278.34","271.05","277.77","43,393,281"
03/30/2023,"272.29","274.99","271.02","273.83","36,451,566"
03/29/2023,"268.25","270.78","265.97","269.84","39,369,391"
03/28/2023,"264.47","265.13","258.50","264.10","35,610,379"
03/27/2023,"268.37","270.00","263.65","265.31","36,102,566"
03/24/2023,"270.31","271.67","263.55","267.79","45,541,406"
03/23/2023,"271.16","274.99","266.90","271.91","56,488,879"
03/22/2023,"264.25","275.89","262.37","264.68","79,729,516"
03/21/2023,"261.80","263.92","253.81","261.99","54,740,781"
03/20/2023,"256.15","260.24","251.30","259.00","43,274,719"
